 caldt      prtnam        totret
19510131      10        0.084818
19510228      10       -0.000346
19510331      10       -0.049204
19510430      10        0.042173
19510531      10       -0.024858
19510629      10       -0.056078
19510731      10        0.037240
19510831      10        0.067501
19510928      10        0.012978
19511031      10       -0.017492
19511130      10       -0.015865
19511231      10       -0.003933
19520131      10        0.026403
19520229      10       -0.025750
19520331      10        0.013374
19520430      10       -0.039598
19520529      10        0.006076
19520630      10        0.029570
19520731      10       -0.000014
19520829      10       -0.003890
19520930      10       -0.009773
19521031      10       -0.008057
19521128      10        0.032276
19521231      10        0.004761
19530130      10        0.051680
19530227      10        0.027927
19530331      10       -0.015506
19530430      10       -0.021793
19530529      10        0.007486
19530630      10       -0.045643
19530731      10        0.003906
19530831      10       -0.051633
19530930      10       -0.039237
19531030      10        0.029153
19531130      10        0.018740
19531231      10       -0.043565
19540129      10        0.111179
19540226      10       -0.008104
19540331      10        0.027270
19540430      10        0.002779
19540528      10        0.034505
19540630      10        0.016826
19540730      10        0.120610
19540831      10       -0.004391
19540930      10        0.042281
19541029      10       -0.000629
19541130      10        0.063719
19541231      10        0.142163
19550131      10        0.042576
19550228      10        0.063837
19550331      10        0.000945
19550429      10        0.019171
19550531      10        0.015291
19550630      10        0.016556
19550729      10        0.023024
19550831      10        0.000001
19550930      10        0.005476
19551031      10       -0.020358
19551130      10        0.040576
19551230      10        0.025164
19560131      10       -0.001290
19560229      10        0.031562
19560329      10        0.019301
19560430      10        0.000050
19560531      10       -0.041720
19560629      10        0.003866
19560731      10        0.015600
19560831      10       -0.015677
19560928      10       -0.035692
19561031      10        0.003974
19561130      10       -0.000876
19561231      10        0.006794
19570131      10        0.035359
19570228      10       -0.026361
19570329      10        0.009936
19570430      10        0.032838
19570531      10        0.014427
19570628      10        0.011972
19570731      10        0.005878
19570830      10       -0.044127
19570930      10       -0.060139
19571031      10       -0.094255
19571129      10        0.008498
19571231      10       -0.066156
19580131      10        0.167927
19580228      10       -0.026987
19580331      10        0.027850
19580430      10        0.044448
19580529      10        0.043798
19580630      10        0.036253
19580731      10        0.057300
19580829      10        0.044798
19580930      10        0.066430
19581031      10        0.027688
19581128      10        0.029235
19581231      10        0.032369
19590130      10        0.080998
19590227      10        0.033980
19590331      10        0.015974
19590430      10        0.024728
19590529      10       -0.000325
19590630      10       -0.009980
19590731      10        0.039179
19590831      10       -0.016152
19590930      10       -0.035279
19591030      10        0.001447
19591130      10       -0.004064
19591231      10        0.018761
19600129      10        0.009398
19600229      10       -0.006953
19600331      10       -0.021069
19600429      10       -0.038052
19600531      10       -0.002791
19600630      10        0.022306
19600729      10       -0.013944
19600831      10        0.052905
19600930      10       -0.060119
19601031      10       -0.037514
19601130      10        0.006434
19601230      10        0.012973
19610131      10        0.087207
19610228      10        0.060245
19610330      10        0.071875
19610428      10        0.023328
19610531      10        0.050362
19610630      10       -0.051434
19610731      10       -0.008962
19610831      10        0.011384
19610929      10       -0.032031
19611031      10        0.027843
19611130      10        0.048427
19611229      10        0.002329
19620131      10        0.048003
19620228      10        0.027391
19620330      10       -0.007097
19620430      10       -0.072758
19620531      10       -0.108352
19620629      10       -0.075303
19620731      10        0.077477
19620831      10        0.047770
19620928      10       -0.073603
19621031      10       -0.059562
19621130      10        0.107458
19621231      10       -0.040749
19630131      10        0.104486
19630228      10       -0.018155
19630329      10        0.001153
19630430      10        0.010118
19630531      10        0.036635
19630628      10       -0.010582
19630731      10       -0.002477
19630830      10        0.026653
19630930      10        0.002040
19631031      10        0.007016
19631129      10       -0.022297
19631231      10       -0.021819
19640131      10        0.046242
19640228      10        0.028016
19640331      10        0.019530
19640430      10       -0.004249
19640528      10        0.005094
19640630      10        0.013163
19640731      10        0.037029
19640831      10       -0.005573
19640930      10        0.050351
19641030      10        0.026918
19641130      10       -0.002249
19641231      10       -0.019980
19650129      10        0.084762
19650226      10        0.035896
19650331      10        0.024336
19650430      10        0.050321
19650528      10       -0.002347
19650630      10       -0.096570
19650730      10        0.026863
19650831      10        0.040087
19650930      10        0.029810
19651029      10        0.074523
19651130      10        0.059053
19651231      10        0.049598
19660131      10        0.085423
19660228      10        0.048119
19660331      10       -0.002481
19660429      10        0.054574
19660531      10       -0.110102
19660630      10       -0.005570
19660729      10       -0.019780
19660831      10       -0.118895
19660930      10       -0.022673
19661031      10       -0.052977
19661130      10        0.042278
19661230      10        0.019079
19670131      10        0.211806
19670228      10        0.064911
19670331      10        0.068904
19670428      10        0.044602
19670531      10        0.000295
19670630      10        0.118678
19670731      10        0.104800
19670831      10        0.011887
19670929      10        0.088675
19671031      10       -0.007511
19671130      10       -0.012048
19671229      10        0.112981
19680131      10        0.076514
19680229      10       -0.075146
19680329      10       -0.016972
19680430      10        0.170134
19680531      10        0.138550
19680628      10        0.013114
19680730      10       -0.020943
19680830      10        0.047302
19680930      10        0.070898
19681031      10        0.004100
19681129      10        0.072423
19681231      10        0.033044
19690131      10        0.004643
19690228      10       -0.103165
19690328      10        0.018273
19690430      10       -0.004934
19690529      10        0.011502
19690630      10       -0.132533
19690731      10       -0.117458
19690829      10        0.041077
19690930      10       -0.031771
19691031      10        0.112035
19691128      10       -0.070327
19691231      10       -0.089239
19700130      10       -0.009592
19700227      10        0.025837
19700331      10       -0.035673
19700430      10       -0.187493
19700529      10       -0.094647
19700630      10       -0.087369
19700731      10        0.040341
19700831      10        0.058201
19700930      10        0.163561
19701030      10       -0.079411
19701130      10       -0.031902
19701231      10        0.094088
19710129      10        0.182548
19710226      10        0.068243
19710331      10        0.063385
19710430      10        0.019490
19710528      10       -0.064780
19710630      10       -0.030383
19710730      10       -0.066690
19710831      10        0.030787
19710930      10       -0.000028
19711029      10       -0.068634
19711130      10       -0.054719
19711231      10        0.126949
19720131      10        0.152311
19720229      10        0.042728
19720330      10       -0.008190
19720428      10        0.001503
19720531      10       -0.033376
19720630      10       -0.040016
19720731      10       -0.036376
19720831      10       -0.001045
19720929      10       -0.043812
19721031      10       -0.033214
19721130      10        0.042128
19721229      10       -0.031890
19730131      10       -0.033162
19730228      10       -0.084468
19730330      10       -0.030544
19730430      10       -0.085084
19730531      10       -0.104067
19730629      10       -0.044644
19730731      10        0.150538
19730831      10       -0.073051
19730928      10        0.076823
19731031      10        0.001446
19731130      10       -0.199853
19731231      10       -0.062624
19740131      10        0.202554
19740228      10       -0.008725
19740329      10        0.011522
19740430      10       -0.062462
19740531      10       -0.079801
19740628      10       -0.026679
19740731      10       -0.054411
19740830      10       -0.082400
19740930      10       -0.078183
19741031      10        0.077082
19741129      10       -0.072223
19741231      10       -0.099849
19750131      10        0.402605
19750228      10        0.025067
19750331      10        0.126137
19750430      10        0.014451
19750530      10        0.073454
19750630      10        0.101392
19750731      10        0.008975
19750829      10       -0.071067
19750930      10       -0.035721
19751031      10       -0.004053
19751128      10        0.024530
19751231      10       -0.018419
19760130      10        0.273677
19760227      10        0.163815
19760331      10        0.002890
19760430      10       -0.027655
19760528      10       -0.035147
19760630      10        0.024088
19760730      10       -0.005917
19760831      10       -0.027198
19760930      10        0.018059
19761029      10       -0.022953
19761130      10        0.016488
19761231      10        0.111061
19770131      10        0.053905
19770228      10       -0.007405
19770331      10        0.006871
19770429      10        0.014090
19770531      10       -0.001490
19770630      10        0.074829
19770729      10        0.005767
19770831      10       -0.020190
19770930      10        0.017767
19771031      10       -0.031608
19771130      10        0.089596
19771230      10        0.014722
19780131      10        0.004780
19780228      10        0.032579
19780331      10        0.092997
19780428      10        0.085160
19780531      10        0.081704
19780630      10        0.001854
19780731      10        0.052701
19780831      10        0.121905
19780929      10       -0.002263
19781031      10       -0.239397
19781130      10        0.073003
19781229      10       -0.000790
19790131      10        0.120590
19790228      10       -0.025170
19790330      10        0.094505
19790430      10        0.029090
19790531      10       -0.007959
19790629      10        0.049030
19790731      10        0.019436
19790831      10        0.081570
19790928      10       -0.014482
19791031      10       -0.108689
19791130      10        0.063935
19791231      10        0.073014
19800131      10        0.114047
19800229      10       -0.027541
19800331      10       -0.192455
19800430      10        0.056609
19800530      10        0.071021
19800630      10        0.040632
19800731      10        0.108809
19800829      10        0.082943
19800930      10        0.028708
19801031      10        0.032605
19801128      10        0.027352
19801231      10       -0.031815
19810130      10        0.034188
19810227      10        0.009910
19810331      10        0.093096
19810430      10        0.038398
19810529      10        0.034391
19810630      10        0.009558
19810731      10       -0.025912
19810831      10       -0.080764
19810930      10       -0.086296
19811030      10        0.081734
19811130      10        0.020277
19811231      10       -0.028879
19820129      10       -0.006772
19820226      10       -0.041014
19820331      10       -0.006003
19820430      10        0.038886
19820528      10       -0.019453
19820630      10       -0.031733
19820730      10       -0.012940
19820831      10        0.064037
19820930      10        0.027618
19821029      10        0.151446
19821130      10        0.099093
19821231      10        0.007787
19830131      10        0.107242
19830228      10        0.051508
19830331      10        0.058068
19830429      10        0.071337
19830531      10        0.123791
19830630      10        0.039943
19830729      10       -0.019394
19830831      10       -0.038610
19830930      10       -0.004633
19831031      10       -0.070552
19831130      10        0.047765
19831230      10       -0.028683
19840131      10        0.017792
19840229      10       -0.071658
19840330      10       -0.001133
19840430      10       -0.026666
19840531      10       -0.060429
19840629      10        0.012883
19840731      10       -0.064245
19840831      10        0.097160
19840928      10       -0.011200
19841031      10       -0.035719
19841130      10       -0.054643
19841231      10       -0.005108
19850131      10        0.159419
19850228      10        0.035784
19850329      10       -0.024184
19850430      10       -0.019622
19850531      10        0.018970
19850628      10        0.005653
19850731      10        0.028384
19850830      10       -0.006203
19850930      10       -0.057800
19851031      10        0.017304
19851129      10        0.053133
19851231      10        0.035963
19860131      10        0.041750
19860228      10        0.060271
19860331      10        0.039268
19860430      10        0.011076
19860530      10        0.028800
19860630      10        0.002731
19860731      10       -0.085838
19860829      10        0.006343
19860930      10       -0.060414
19861031      10        0.020801
19861128      10       -0.010562
19861231      10       -0.039420
19870130      10        0.112802
19870227      10        0.085552
19870331      10        0.019874
19870430      10       -0.025495
19870529      10       -0.007786
19870630      10        0.014544
19870731      10        0.020710
19870831      10        0.012928
19870930      10       -0.010821
19871030      10       -0.284685
19871130      10       -0.058542
19871231      10        0.022103
19880129      10        0.091765
19880229      10        0.067733
19880331      10        0.044539
19880429      10        0.008841
19880531      10       -0.027077
19880630      10        0.051270
19880729      10       -0.002028
19880831      10       -0.022140
19880930      10        0.013956
19881031      10       -0.015075
19881130      10       -0.038160
19881230      10        0.027798
19890131      10        0.049505
19890228      10        0.008568
19890331      10        0.018770
19890428      10        0.027621
19890531      10        0.026537
19890630      10       -0.010943
19890731      10        0.025981
19890831      10        0.017153
19890929      10       -0.000510
19891031      10       -0.066103
19891130      10       -0.013956
19891229      10       -0.023767
19900131      10       -0.051643
19900228      10        0.002601
19900330      10        0.011132
19900430      10       -0.032647
19900531      10        0.028272
19900629      10        0.002348
19900731      10       -0.040334
19900831      10       -0.127085
19900928      10       -0.085836
19901031      10       -0.076239
19901130      10        0.022990
19901231      10       -0.009403
19910131      10        0.112567
19910228      10        0.149625
19910328      10        0.096300
19910430      10        0.028176
19910531      10        0.023484
19910628      10       -0.035897
19910731      10        0.023063
19910830      10        0.015702
19910930      10        0.003264
19911031      10        0.008265
19911129      10       -0.027466
19911231      10        0.018158
19920131      10        0.185113
19920228      10        0.062072
19920331      10       -0.008243
19920430      10       -0.040834
19920529      10        0.001505
19920630      10       -0.048663
19920731      10        0.034898
19920831      10       -0.028204
19920930      10        0.008424
19921030      10        0.014389
19921130      10        0.089159
19921231      10        0.048194
19930129      10        0.077157
19930226      10       -0.016800
19930331      10        0.031737
19930430      10       -0.020733
19930528      10        0.030489
19930630      10        0.003906
19930730      10        0.018190
19930831      10        0.040327
19930930      10        0.035506
19931029      10        0.060938
19931130      10       -0.025355
19931231      10        0.000277
19940131      10        0.061850
19940228      10       -0.008603
19940331      10       -0.043027
19940429      10       -0.018599
19940531      10        0.000771
19940630      10       -0.017254
19940729      10        0.009550
19940831      10        0.034204
19940930      10        0.017278
19941031      10        0.003890
19941130      10       -0.041899
19941230      10       -0.023285
19950131      10        0.045096
19950228      10        0.029170
19950331      10        0.015455
19950428      10        0.022728
19950531      10        0.021166
